,variables,VIF
348,"0__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",4.903531486228481
349,"0__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",4.403158540865584
350,0__quantile__q_0.6,10.572117374291823
351,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4",28.37020659607306
352,0__c3__lag_3,6086.550105744876
353,"0__fft_coefficient__attr_""imag""__coeff_11",891635055.8896396
354,0__partial_autocorrelation__lag_4,8.800942912671012
355,"0__fft_coefficient__attr_""real""__coeff_12",3113367431.357934
356,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4",11.314435098894215
357,"0__fft_coefficient__attr_""real""__coeff_6",3991715945.5225
358,0__autocorrelation__lag_4,9.747655561278682
359,"0__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6",24.748739905788213
360,"0__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",1.7708821057705308
361,"0__fft_coefficient__attr_""real""__coeff_10",24390325.498119317
362,"0__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2",1.7359009244572454
363,0__index_mass_quantile__q_0.8,7.302787545686751
364,0__friedrich_coefficients__coeff_3__m_3__r_30,3807.3812008736736
365,0__friedrich_coefficients__coeff_1__m_3__r_30,819.9652848800557
366,0__friedrich_coefficients__coeff_0__m_3__r_30,1078.620855238044
367,0__large_standard_deviation__r_0.30000000000000004,2.0684082802264188
368,0__friedrich_coefficients__coeff_2__m_3__r_30,207.84732610757519
369,0__max_langevin_fixed_point__m_3__r_30,240024.46591874628
370,y,2.206641465005699
371,0__number_peaks__n_5:Log_0__number_peaks__n_5,9.331875937372335
372,0__number_peaks__n_3:Log_0__number_peaks__n_3,5.257136033705528
373,0__energy_ratio_by_chunks__num_segments_10__segment_focus_0:Log_0__energy_ratio_by_chunks__num_segments_10__segment_focus_0,17.029774579018067
